Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
47,10522950,"Gaurav Srivastava","2023-06-12 13:22:04",1.33713,8,scipygaurav
48,10488688,"Amina Zarief","2023-06-12 15:00:28",1.33713,3,aminaabukaied
49,10495334,Devashish_Bhake,"2023-06-10 07:21:34",1.33715,11,devashishbhake01
50,10534845,"Mark Baushenko","2023-06-10 18:52:00",1.33715,2,e0xextazy
51,10484335,Priyanshu594,"2023-06-11 13:35:57",1.33715,14,priyanshu594
52,10541940,TAK,"2023-06-12 22:30:28",1.33715,5,takashikonishi
53,10478386,"Richárd Soltész","2023-06-12 21:53:01",1.33725,33,richrdsoltsz
54,10477434,"Mugared Khalifa1","2023-06-12 20:23:34",1.33728,27,mugaredkhalifa1
55,10477307,VTaovv,"2023-06-11 07:54:47",1.33733,51,vtaovv
56,10479585,tdoh86,"2023-06-12 21:57:06",1.33738,35,tdoh86
57,10482825,"Joakim Arvidsson","2023-06-01 01:41:18",1.33740,9,joebeachcapital
58,10533605,"[Deleted] 34ac7bc0-6d4e-46d6-8ab5-e25d037e991c","2023-06-10 07:18:18",1.33746,4,del=0cf45d0db9420bae
59,10476764,e271828,"2023-06-12 05:30:37",1.33751,24,e271828ai
60,10476947,"Javier Agnir","2023-06-09 10:59:12",1.33784,21,javieragnir
61,10521048,Kirderf,"2023-06-09 10:09:54",1.33794,9,kirderf
62,10479270,yang2yue,"2023-06-09 01:25:38",1.33801,18,yang2yue
63,10476971,MLDataSci,"2023-06-12 01:10:05",1.33806,26,anika19
64,10476921,Akahachi,"2023-06-12 07:39:54",1.33809,33,wordcards
65,10503855,MeatDad,"2023-06-12 16:37:26",1.33811,7,meatdad
66,10477233,"Matt OP","2023-06-12 02:08:47",1.33829,10,mattop
67,10536614,"Aaryam Sharma","2023-06-12 23:00:07",1.33832,7,aschamp
68,10496789,cuizhehan,"2023-06-03 12:56:57",1.33834,10,cuizhehan
69,10487260,cozyhn,"2023-06-12 15:34:47",1.33837,55,cozyhn
70,10476814,sec98b4e,"2023-06-10 07:16:06",1.33842,14,sec98b4e
71,10483419,"Hari Prasath Naresh","2023-06-08 15:35:13",1.33842,5,hariprasath1436
72,10527612,"siva sai Chandra","2023-06-12 11:43:50",1.33842,12,sivasaichandra
73,10477368,Satya,"2023-06-11 14:45:37",1.33852,20,satyaprakashshukl
74,10491455,Shivamqr786,"2023-06-01 12:56:54",1.33852,3,shivamqr786
75,10481590,"MINHAZ CHOWDHURY","2023-06-01 17:26:02",1.33852,1,minhazengg
76,10484791,"Manish kumar7432698","2023-06-07 13:55:56",1.33852,26,manishkumar7432698
77,10495529,Nancy,"2023-06-06 12:49:45",1.33852,3,nancysamuel
78,10502930,"Robert McKay","2023-06-07 01:04:30",1.33852,8,robertm256
79,10529987,WU12S-ONE,"2023-06-10 10:58:42",1.33852,5,wu12sone
80,10486721,marishlalwani,"2023-06-12 23:03:56",1.33852,2,marishlalwani
81,10486905,Rishabhjain,"2023-06-01 15:03:29",1.33857,4,rishabh15virgo
82,10516934,"Daniil Panteleev","2023-06-07 11:49:35",1.33875,10,roopeer
83,10476728,tetsu2131,"2023-06-10 04:07:42",1.33875,24,tetsutani
84,10533832,"[Deleted] 2d45f129-4bc6-430b-bd51-b789c8212eb0","2023-06-10 23:32:11",1.33877,3,del=bc220a146bad756f
85,10479958,"Andrei Lazanu","2023-06-07 21:23:51",1.33880,11,andreilazanu
86,10485188,rafiki,"2023-06-12 04:35:10",1.33890,5,prash4nt
87,10477143,xclimx,"2023-06-12 14:24:30",1.33892,32,xclimx
88,10529088,"Yunhao Liu","2023-06-11 06:52:38",1.33915,9,yunhaoliu06
89,10476987,StatBug,"2023-06-10 15:40:20",1.33915,10,naushard
90,10478237,HarshaVardhanBabu,"2023-06-12 11:59:38",1.33918,37,harshavardhanbabu
91,10482069,"Oleg Baryshnikov","2023-06-12 22:05:53",1.33918,21,olegbaryshnikov
92,10497873,"Xuan PENG","2023-06-02 21:18:07",1.33923,1,chloe912
93,10476705,"Jakub Nowacki","2023-06-12 09:59:12",1.33925,16,mnokno
94,10482303,"Grant Gonnerman","2023-06-11 01:07:54",1.33928,38,grantgonnerman
95,10487574,"Gaurav Pandey","2023-06-11 18:03:29",1.33933,22,"chandanrudrappa,pandeyg0811,shrutianalyttica"
96,10479080,Bogi,"2023-06-12 21:47:34",1.33933,48,"faizalkarim,krish0202,niyarrbarman"
97,10488397,"Random Draw","2023-06-07 21:13:36",1.33933,22,danbraswell
98,10524464,SV_0288,"2023-06-08 06:58:46",1.33933,2,gauravpandey12345678
99,10529518,"Araik Tamazian","2023-06-12 07:15:29",1.33938,13,atamazian
100,10476795,"Hitori Botchi","2023-06-09 03:11:18",1.33941,23,ykiichi
101,10540617,hzjsjs,"2023-06-12 07:42:33",1.33946,5,hzjsjs
102,10515552,Prthmgoyl,"2023-06-12 17:45:22",1.33946,8,prthmgoyl
103,10476779,bogoconic1,"2023-06-12 11:26:17",1.33948,11,"onurkoc83,yeoyunsianggeremie"
104,10511289,"Ivan Guschin","2023-06-11 11:07:36",1.33953,16,ivanguschin
105,10477885,T.Kaiso,"2023-06-12 07:12:34",1.33958,30,takayukikaiso
106,10476842,horohoro,"2023-06-05 07:44:34",1.33963,12,horohoro
107,10479583,kitayama,"2023-06-12 14:41:12",1.33968,16,kkityama
108,10517042,"Ashesh Saha","2023-06-10 18:59:04",1.33968,2,asheshsaha
109,10478755,Luojike,"2023-06-04 03:35:12",1.33971,12,luojike
110,10477247,Utsav_Jivani,"2023-06-09 02:58:46",1.33978,21,utsav1234
111,10514307,"Serhan Çiftlikçi","2023-06-10 15:48:20",1.33978,5,serhanciftlikci
112,10507905,"Kita Ikuyo","2023-06-12 13:14:09",1.33978,8,erxingshen
113,10507011,"Fikri Dwi Alpian","2023-06-12 06:01:35",1.33981,9,fikridwialpian
114,10478199,"Yue Sun","2023-06-11 14:08:15",1.33982,8,yus002
115,10484622,"Faisal Alsrheed","2023-06-09 12:07:11",1.33984,5,faisalalsrheed
116,10525824,"[Deleted] 48992182-3f8e-4134-acce-31de26ccb1a2","2023-06-12 00:17:37",1.33989,8,del=85d5b8c54efdaa64
117,10482735,"Supervised Noobs","2023-06-12 20:13:39",1.33994,50,"manavgupta92,nivedithavudayagiri"
118,10497355,"Sai J","2023-06-09 13:10:44",1.33996,22,psyflow
119,10501558,DTsC,"2023-06-12 20:01:59",1.33996,2,denistsenev
120,10536939,"Zhou Nan","2023-06-11 06:05:45",1.33996,1,nanzhouzn
121,10484354,A_Smol_Bread,"2023-06-04 14:54:02",1.34001,8,alaister
122,10493182,CyberCrab,"2023-06-12 22:32:52",1.34001,16,"bakaldin,olegbalakin"
123,10477776,"Jim Gruman","2023-06-05 20:19:30",1.34006,10,jimgruman
124,10525284,"Korhan Kanar","2023-06-12 16:39:28",1.34009,16,kkanar
125,10480148,"Izzan Silmi A.","2023-06-12 14:10:39",1.34014,28,isamobagaming
126,10507724,drlight0715,"2023-06-12 22:27:51",1.34014,21,drlight0715
127,10478403,"Sergey Kusin & Jylia Pilgay","2023-06-12 13:54:47",1.34022,15,"jyliapilgay,siarheikusin"
128,10482965,"Jon Blanchard","2023-06-12 23:00:12",1.34022,34,jonblanchard
129,10481864,StarkAndroid,"2023-06-11 19:05:35",1.34024,15,starkandroid
130,10485821,Keisuke,"2023-06-06 13:08:04",1.34029,2,zesulank
131,10476796,datingwang,"2023-06-11 23:38:10",1.34032,30,datingwang
132,10479639,helpming,"2023-06-12 03:30:04",1.34032,37,helpming
133,10524053,"Yiyang Zheng","2023-06-11 14:30:03",1.34039,8,yiyangzheng
134,10494883,"Chomba Waihenya","2023-06-12 12:03:36",1.34042,4,chmbwa
135,10536756,"Takashi Tomika","2023-06-12 16:05:27",1.34044,5,haruomiyoshikawa
136,10508639,"Prabhanjan Jadhav","2023-06-05 11:31:06",1.34046,5,prabhanjanjadhav
137,10497924,"Kevin Arvai","2023-06-12 12:58:40",1.34047,4,kevinarvai
138,10495444,xgboostftw,"2023-06-12 16:14:55",1.34047,12,xgboostftw
139,10495858,"Sergey Gusev","2023-06-10 13:37:51",1.34052,9,sergeygusev13
140,10519339,"Rahul Kiroriwal","2023-06-10 13:35:01",1.34054,1,rahulkiroriwal
141,10485853,RubyMyheart,"2023-06-06 11:25:31",1.34057,2,rubymyheart
142,10480393,DonB,"2023-06-08 19:11:29",1.34057,8,donkaggle1
143,10478486,Mayoiboshi,"2023-06-12 14:49:51",1.34057,1,mayoiboshi
144,10530603,NUDTDMGJC,"2023-06-10 00:06:23",1.34062,3,nudtdmgjc
145,10477541,"Utkarsh Prajapati","2023-06-12 12:34:34",1.34080,10,utisop
146,10536229,Vijay.Joshi.17,"2023-06-12 15:44:18",1.34080,5,vijayjoshi17
147,10479576,al,"2023-06-04 12:54:19",1.34082,12,al2122
148,10476711,base_ml,"2023-06-11 02:05:00",1.34082,21,michaelsemenoff
149,10476791,"Branden Murray","2023-06-03 00:02:59",1.34085,10,brandenkmurray
150,10486864,"Robert Trypuz","2023-06-12 16:47:24",1.34085,40,roberttrypuz
151,10477395,"мистер крабс из спанч боба","2023-06-11 19:56:41",1.34087,3,samson8
152,10512027,"Henri Upton","2023-06-12 11:27:04",1.34087,13,henriupton
153,10476916,"Georgios Nikolitsis","2023-06-12 13:33:00",1.34095,70,gnikolitsis
154,10511028,"Abhiram Ashok","2023-06-11 07:09:10",1.34097,4,abhiramashok
155,10490000,Terje,"2023-06-12 09:54:34",1.34103,14,terje62
156,10479980,earlyann,"2023-06-09 15:01:14",1.34105,19,earlyann
157,10506560,jsp879,"2023-06-07 05:38:46",1.34105,1,jsp24708
158,10477387,"J. Liang","2023-06-12 23:19:27",1.34108,16,jliangwork
159,10478826,"Prashant Bajpai99","2023-06-12 11:34:29",1.34110,22,prashantbajpai99
160,10513266,"Yi Zhang","2023-06-12 03:42:57",1.34123,5,instar
161,10516305,"taksh beladiya","2023-06-12 19:22:45",1.34130,9,takshbeladiya
162,10478287,"Kiran Trading Co","2023-06-06 15:42:07",1.34133,33,prateekbaliya
163,10489039,"Yeshua T","2023-06-07 14:33:51",1.34138,15,"thiagolimasantos,yeshuat"
164,10487094,"Nuri Öztürk","2023-06-12 20:06:02",1.34141,3,nuriztrk
165,10498819,"Aryaman Bansal","2023-06-12 19:47:15",1.34141,15,aryamanbansal
166,10487701,"Augustine Williams223","2023-06-11 16:43:46",1.34143,2,augustinewilliams223
167,10483074,MikeILike02,"2023-06-12 00:56:38",1.34143,30,mikeilike02
168,10476721,"Ulises M.","2023-06-12 05:36:46",1.34143,39,ulisesmontoyacanales
169,10482285,"Flavia Felicioni","2023-06-12 22:14:11",1.34148,17,flaviafelicioni
170,10483091,AddictedBoy,"2023-06-12 17:06:06",1.34148,2,addictedboy
171,10478248,omprakashselvaraj,"2023-06-12 13:53:38",1.34151,21,omprakashselvaraj
172,10524875,"Yumin Kim","2023-06-12 03:54:04",1.34158,15,candlemania
173,10535428,stupid-topson,"2023-06-12 12:36:19",1.34158,5,googleyoga
174,10507067,YK-Fight,"2023-06-12 16:53:57",1.34163,40,"newcanon,xiaohuirong"
175,10515126,"Nicolas Noel","2023-06-06 14:26:10",1.34168,1,nicolasnoel
176,10483519,Crak,"2023-06-08 01:12:09",1.34173,6,crakyy
177,10488405,"Kavin Rajagopal","2023-06-09 13:26:20",1.34176,6,datageek101
178,10533268,yoshika,"2023-06-11 11:02:00",1.34176,9,cbdlover
179,10506634,Yuuki0,"2023-06-12 21:34:06",1.34184,7,yuuki0
180,10479438,"Luca Lauer","2023-06-12 22:13:41",1.34186,9,roflcopter23
181,10478781,"Suraj Dengale","2023-06-07 08:09:36",1.34189,4,surajdengale
182,10484555,zelink,"2023-05-31 08:55:07",1.34189,1,zelink
183,10476712,pannmie,"2023-06-12 15:23:35",1.34191,2,tumpanjawat
184,10486613,"Boran Oktay DABAK","2023-06-02 12:41:14",1.34201,5,borandabak
185,10484149,HuBERT,"2023-06-01 20:24:43",1.34201,8,hubert101
186,10507540,wangali,"2023-06-06 08:33:18",1.34201,9,wangali
187,10519783,"shreyans murkute","2023-06-12 11:31:51",1.34201,4,shreyansmurkute
188,10515673,duyNGuyen2,"2023-06-12 02:40:07",1.34206,19,duynguyen2
189,10508774,alexgerasimovich,"2023-06-11 01:31:50",1.34211,21,alexgerasimovich
190,10498028,"Vladimir Petrochenko","2023-06-12 23:58:21",1.34214,9,mezhved
191,10501732,"Aleksei Nedolivko","2023-06-08 19:09:44",1.34216,9,alekseinedolivko
192,10481595,Nelli,"2023-06-12 13:29:01",1.34222,23,neoly555
193,10479264,Fahim,"2023-06-12 17:01:47",1.34223,21,fahimasaadi
194,10489313,"AL-HUSSEIN AL-ALHLLAWI","2023-06-09 13:46:34",1.34227,8,alhusseinalalhllawi
195,10493269,"Mehran Kazeminia","2023-06-06 07:31:51",1.34228,25,mehrankazeminia
196,10489066,"Allena Venkata Sai Aby","2023-06-11 16:19:16",1.34229,1,abhishek14398
197,10491364,acac,"2023-06-11 03:39:01",1.34232,10,ac123321
198,10485038,movingon,"2023-06-03 13:49:41",1.34232,2,tempaccount0109
199,10483290,"[Deleted] b804f25e-f5e9-40b0-8a8e-4e16556e62fb","2023-06-09 02:06:35",1.34232,23,del=1877551e3a037f27
200,10477462,DJ_C,"2023-06-10 02:59:56",1.34241,15,dongjun819
201,10480516,"Kuzin Maxim","2023-06-05 16:17:27",1.34242,7,kuzinmaxim
202,10504061,pianwei,"2023-06-12 09:53:23",1.34244,1,pianwei
203,10492145,"Yurii Moroz","2023-06-12 23:36:02",1.34254,34,yuriimoroz
204,10485717,Dinesh,"2023-06-01 12:15:15",1.34257,2,dineshydv
205,10532524,"Prasanna Jaganathan","2023-06-09 19:58:05",1.34265,1,prasannaj164
206,10510503,"Dmitry Sirenchenko","2023-06-08 20:32:58",1.34272,2,dmitrysirenchenko
207,10493122,Sarmad_mueen,"2023-06-12 21:17:33",1.34272,6,etrdfdfd
208,10479914,KAMOMENOJONASAN,"2023-06-02 17:08:09",1.34275,10,kamomenojonasan
209,10481285,"Shashank Jatav","2023-06-11 16:19:11",1.34275,12,shashankjatav
210,10488280,"Nikita Kurkov","2023-06-12 21:22:26",1.34275,32,nikitakurkov
211,10477472,"DHANRAJ MALLA","2023-06-11 17:37:07",1.34280,31,dhanrajmalla
212,10517341,"Dmitry Kozlov","2023-06-07 01:54:28",1.34282,2,dkozlov
213,10490302,Ananya1402,"2023-06-12 13:55:28",1.34285,5,ananya1402
214,10510753,riverallzero,"2023-06-06 02:31:01",1.34290,5,riverallzero
215,10497898,"Vaishakh M","2023-06-12 20:14:12",1.34290,11,vaishakhraveendran
216,10477932,Wonderer,"2023-06-04 15:04:17",1.34292,24,gkitchen
217,10491601,"Jamaal Brownn","2023-06-05 20:26:03",1.34305,3,jamaalbrownn
218,10535212,hidema,"2023-06-12 14:07:38",1.34318,11,hidema
219,10503308,"Eugene Pasechnikov","2023-06-08 02:59:38",1.34325,5,eugenebee
220,10484432,SerifOZ,"2023-06-12 18:24:49",1.34325,60,serifoz
221,10486616,"Sai Sawant","2023-06-12 19:03:57",1.34325,29,saisawant29
222,10506760,Dandoun,"2023-06-10 00:40:36",1.34328,15,"atefbouzid,r4yhane"
223,10478978,"Francisco Javier Gallego","2023-06-12 18:10:45",1.34330,22,javigallego
224,10506587,"Sixian Chen","2023-06-05 17:42:19",1.34333,2,chensixian
225,10524469,Ad1thy4,"2023-06-09 07:12:08",1.34351,3,ad1thy4
226,10478994,mexwell,"2023-05-31 11:32:47",1.34353,8,mexwell
227,10478979,Elmo27,"2023-06-06 16:27:41",1.34353,9,elmo27
228,10480981,jsrussell,"2023-06-03 12:03:22",1.34354,7,jsrussell
229,10507176,JimmyWang,"2023-06-05 06:02:33",1.34356,1,jimmy1995taiwan
230,10476703,"Andreyy Bushuev","2023-06-06 22:41:56",1.34361,3,andreyybushuev
231,10496335,"Mostafa HAJJ CHEHADE","2023-06-08 12:02:24",1.34363,17,midozhajjchehade
232,10482327,"Marcos Vinícius","2023-06-12 15:17:00",1.34368,13,marcosgndel
233,10477014,"Ram Jas","2023-06-02 19:33:44",1.34371,11,ramjasmaurya
234,10486214,"AbduIIah AItay","2023-06-03 19:01:32",1.34373,2,abduiiahaitay
235,10486870,"Кірилл Умнов","2023-06-10 10:14:13",1.34373,8,exes233
236,10516741,"Likith S H","2023-06-11 08:24:15",1.34373,4,likithsh
237,10523892,ykkyyyyy,"2023-06-12 23:38:14",1.34373,4,ykkyyyyy
238,10479283,Demko1,"2023-06-12 10:33:45",1.34379,5,demko1
239,10482789,"Dylan Wilson","2023-06-05 18:16:53",1.34381,3,dwilson3
240,10479926,KLYUSHNIK-Alexsandr,"2023-06-12 14:45:01",1.34383,38,klyushnik
241,10491836,"Julius Markwei","2023-06-07 12:58:34",1.34386,18,juliusmarkwei
242,10513114,"Rafay Qayyum","2023-06-12 18:15:41",1.34394,23,rafayqayyum
243,10477139,"krishna sudeep j","2023-06-08 14:55:05",1.34399,6,krishnasudeepj
244,10492112,"rıza temizel","2023-06-09 13:34:29",1.34404,12,rzatemizel
245,10511521,"Wigand Kollmeier","2023-06-12 11:20:36",1.34406,4,wigandkollmeier
246,10480835,"robert stefanazzi","2023-06-11 19:37:23",1.34409,21,robertstefanazzi
247,10476981,slam,"2023-06-12 09:52:17",1.34417,25,shadowdk
248,10476713,JMAscacibar,"2023-06-12 23:48:48",1.34417,3,jmascacibar
249,10513119,"Vasya Neo","2023-06-07 02:51:21",1.34422,4,vasyaneo
250,10479823,"Arpit P. Patel","2023-06-08 07:20:40",1.34422,8,arpitppatel
251,10509219,"Zavod rabota","2023-06-08 20:07:20",1.34427,7,zavodrabota
252,10476750,Sabet,"2023-06-08 11:59:16",1.34434,25,saabet
253,10489988,"Andrey K.","2023-06-09 03:53:20",1.34442,18,heelhook
254,10477716,"Jiayu Qiao","2023-06-03 14:36:29",1.34446,21,zjucse
255,10482149,ArnoldRosielle,"2023-06-07 19:06:01",1.34447,5,arosielle
256,10476817,"Akio Onodera","2023-06-09 02:29:56",1.34449,55,akioonodera
257,10482070,"Chirag Choudhary","2023-06-11 20:50:41",1.34449,11,ch124uec
258,10479622,AlexHawkins,"2023-06-07 09:11:01",1.34457,9,alexhawkins
259,10478435,"Thariq Nugrohotomo","2023-06-12 10:59:14",1.34457,2,thariqnugrohotomo
260,10481228,"Daragh Thomas","2023-06-07 02:00:12",1.34460,26,daraghthomas
261,10479851,Dfdfgd,"2023-06-04 06:35:26",1.34472,10,dfdfgd
262,10480179,aniltk,"2023-06-06 13:01:44",1.34472,25,aniltk
263,10482101,"Ankit Kumar Prem","2023-06-05 13:25:27",1.34475,6,ankitprem
264,10492623,"Brayan G. Moreno","2023-06-07 00:26:22",1.34475,2,brayangarzonmoreno
265,10477036,"Sumanta Basak","2023-06-09 19:44:32",1.34475,12,drsb24
266,10525733,"Anirban Chatterjee","2023-06-08 14:56:18",1.34475,1,anivana
267,10530776,NUDTDMYDP,"2023-06-09 12:49:23",1.34475,1,nudtdmydp
268,10497239,RustemX,"2023-06-09 17:44:13",1.34475,3,rustemx
269,10531387,"Abigail Dorsa","2023-06-09 18:04:54",1.34475,1,abigaildorsa
270,10513305,"Suhas S","2023-06-12 16:56:18",1.34475,5,ssuhas76
271,10499752,Dolgoruky,"2023-06-07 10:18:48",1.34477,19,dolgoruky
272,10531658,Adamelloos,"2023-06-10 07:19:36",1.34480,4,adamell
273,10476696,Pattptr,"2023-06-12 23:08:15",1.34480,2,pattptr
274,10489620,Eugene,"2023-06-04 11:34:30",1.34487,20,aesedeu
275,10506770,COMET,"2023-06-07 03:53:49",1.34487,7,hyesung6
276,10482049,"Zhi Zheng","2023-06-12 20:14:59",1.34490,13,zhizheng123
277,10476849,pineapple,"2023-06-11 17:20:30",1.34498,2,perrypineapple
278,10523308,"Li Zhecheng","2023-06-12 18:44:13",1.34498,6,lizhecheng
279,10484195,"Intan Dea","2023-06-09 08:51:10",1.34503,14,intandea
280,10502392,"Andrea D'Agostino","2023-06-09 16:23:16",1.34505,7,tangelus
281,10534869,"Ryomen Sukuna","2023-06-10 16:59:37",1.34505,2,raynosebastian
282,10509576,RomanKorovin,"2023-06-05 15:36:16",1.34508,1,romankorovin
283,10488753,"[Deleted] f1b2174c-472e-4019-9104-f24a0e959376","2023-06-10 09:12:03",1.34508,18,del=38b98d9e2e8ad3e2
284,10480021,"Giuseppe Frigeni","2023-06-08 13:45:44",1.34508,10,giuseppefrigeni
285,10499038,"Piyush Kumar","2023-06-12 22:59:40",1.34513,15,lovinggirls
286,10491814,rajuram,"2023-06-03 20:48:51",1.34515,10,rajuram108
287,10509660,KSakaida,"2023-06-08 00:39:56",1.34520,16,ksakaida
288,10485694,"[Deleted] c180af9b-731e-4e7f-8859-0ac55eb305e8","2023-06-12 19:01:36",1.34520,32,del=10b0da05883cf997
289,10507556,"Richie Olajuwon Santoso","2023-06-05 07:19:14",1.34525,2,chiejuwonsfx
290,10504876,"Rafi Fabian Syah #2","2023-06-06 10:16:24",1.34525,5,rafifbnn
291,10509881,newer,"2023-06-05 13:48:10",1.34525,1,newerxy
292,10480792,"Ishan Mishra","2023-06-11 10:06:45",1.34528,4,itsishan
293,10477616,"Arun Purakkatt","2023-06-09 23:11:16",1.34530,4,arunpurakkatt
294,10476823,"Anurag Ghosh","2023-06-10 04:15:03",1.34530,22,d3stron
295,10487879,"Mental Sky","2023-06-12 21:21:52",1.34536,30,jurbanhost
296,10530319,0|1,"2023-06-10 13:46:02",1.34538,1,sabinaabdurakhmanova
297,10478291,"Alpay Abbaszade","2023-06-08 15:01:29",1.34541,9,alpayabbaszade
298,10493215,"Paul Bacher","2023-06-10 07:13:19",1.34546,21,paulbacher
299,10479906,"yasuyuki kimura","2023-06-12 15:04:54",1.34548,13,yasuyukikimuraq
300,10505860,"Olivier RAYMOND","2023-06-10 08:18:45",1.34553,15,olivierraymond
301,10482296,"Sébastien De Bod","2023-06-05 17:10:22",1.34556,14,sbastiendebod
302,10495358,"kISHORE K","2023-06-10 22:20:16",1.34563,14,kishore3914
303,10477805,"Christopher Coffee","2023-06-11 23:15:09",1.34566,49,christophercoffee
304,10493991,"whtile duck","2023-06-12 11:27:29",1.34566,39,familytime
305,10477359,kglctf,"2023-06-07 22:48:44",1.34604,4,kglctf
306,10478298,"Clement Marie","2023-06-12 11:11:08",1.34611,8,clementmarie
307,10478151,"KISHORE S","2023-06-02 16:11:11",1.34631,5,kishore24
308,10515861,"Bilal Aamer","2023-06-08 07:33:10",1.34632,2,bilalaamer02
309,10488220,djbtub,"2023-06-08 22:29:40",1.34634,10,djbtub
310,10501946,"[Deleted] 99f38fc3-62fe-4613-9848-4c78d79dc644","2023-06-11 20:47:27",1.34634,19,del=9308d86400dbf62f
311,10476734,"Yan Teixeira","2023-06-11 22:21:54",1.34637,23,yantxx
312,10492808,"Rahul Datta","2023-06-12 19:42:10",1.34657,38,rahul2008d
313,10494609,ThaiVuNguyen_BenTre,"2023-06-03 03:39:30",1.34665,9,thaivunguyenbentre
314,10478941,"Bogdan Doicin","2023-06-11 05:56:52",1.34665,46,bogdandoicin
315,10501490,Maxem,"2023-06-10 17:17:44",1.34667,11,defdet
316,10476723,"Iqbal Syah Akbar","2023-06-12 01:18:51",1.34680,18,iqbalsyahakbar
317,10481481,"Chingiz Nurzhanov","2023-06-09 12:30:45",1.34687,27,chingiznurzhanov
318,10522026,"Pawan Choudhary","2023-06-12 15:29:41",1.34687,13,pawan10
319,10479726,"Elena Korol","2023-06-09 13:19:45",1.34700,4,elenakorol
